"","x","y","cell","Alder","Ash","Bald cypress","Basswood","Beech","Birch","Black gum","Black gum/sweet gum","Buckeye","Cherry","Chestnut","Dogwood","Elm","Hackberry","Hickory","Ironwood","Locust","Maple","Mulberry","No tree","Oak","Other hardwood","Poplar","Poplar/tulip poplar","Sweet gum","Sycamore","Tamarack","Tulip poplar","Unknown tree","Walnut","Willow"
"36",405000,470000,37948,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,1,0,3,0,63,92,0,0,0,0,0,0,0,1,2,0
"37",405000,550000,34988,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,194,8,0,0,0,0,0,0,0,0,0,0
"38",413000,270000,45349,0,6,0,1,0,0,0,0,0,0,0,0,14,1,28,0,0,1,3,60,64,1,1,0,0,0,0,0,1,5,0
"39",413000,310000,43869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,180,25,0,0,0,0,1,0,0,0,0,0
"40",413000,374000,41501,0,2,0,3,0,0,0,0,0,0,0,0,13,0,7,0,1,2,1,160,25,2,0,0,0,0,0,0,0,0,0
"41",413000,398000,40613,0,0,0,1,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,189,10,0,0,0,0,0,0,0,0,0,0
"42",413000,414000,40021,0,1,0,0,0,0,0,0,0,0,0,0,3,2,9,0,1,1,2,117,50,4,0,0,0,1,0,0,0,2,2
"43",413000,526000,35877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0
"44",413000,542000,35285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
"45",413000,566000,34397,0,0,0,0,0,1,0,0,0,0,0,0,2,0,8,0,0,1,0,167,22,0,0,0,0,0,0,0,0,0,0
"46",421000,230000,46830,0,3,0,0,0,0,0,0,0,0,0,0,9,0,13,0,0,0,0,51,98,1,0,0,0,0,0,0,0,0,0
"47",421000,246000,46238,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0
"48",421000,286000,44758,0,2,0,0,0,0,0,0,0,0,0,0,6,0,18,0,1,1,0,79,72,0,0,0,0,4,0,0,0,6,0
"49",421000,318000,43574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,0
"50",421000,470000,37950,0,0,0,0,0,0,0,0,0,2,0,0,6,0,10,0,0,3,0,145,32,0,0,1,0,0,0,0,0,8,0
"51",421000,678000,30254,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,12,173,1,1,0,0,0,0,0,0,1,0
"52",429000,182000,48607,0,0,0,0,0,0,0,0,0,0,0,0,2,0,29,0,0,0,0,21,123,1,0,0,0,1,0,0,0,4,0
"53",429000,206000,47719,0,1,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,107,65,0,0,0,0,0,0,0,0,0,0
"54",429000,254000,45943,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,0,1,0,0,171,17,1,0,0,0,0,0,0,0,2,0
"55",429000,358000,42095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0
"56",429000,438000,39135,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,155,42,0,0,0,0,0,0,0,0,0,0
"57",429000,502000,36767,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,170,31,0,0,0,0,0,0,0,0,0,0
"58",429000,534000,35583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,195,8,0,0,0,0,3,0,0,0,1,0
"59",429000,558000,34695,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,13,0,0,0,0,0,0,0,0,0,0
"60",429000,654000,31143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,45,125,0,1,0,0,0,0,0,0,0,0
"61",437000,214000,47424,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,90,104,0,0,0,0,0,0,0,0,0,0
"62",437000,382000,41208,0,0,0,0,0,0,0,0,0,2,0,0,7,1,22,0,0,0,1,115,62,1,0,0,0,0,0,0,1,1,0
"63",437000,526000,35880,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,200,7,0,0,0,0,0,0,0,0,2,0
"64",437000,582000,33808,0,7,0,0,0,0,0,0,0,0,0,0,2,3,3,0,1,6,1,164,15,2,0,0,0,2,0,0,0,4,0
"65",437000,606000,32920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,155,34,0,1,0,0,0,0,0,0,0,0
"66",437000,662000,30848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,0,0,0
"67",445000,278000,45057,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,214,3,0,1,0,0,0,0,0,0,0,0
"68",445000,310000,43873,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,2,0,130,62,0,3,0,0,0,0,0,0,3,0
"69",445000,334000,42985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,8,0,0,0,0,0,0,0,0,0,0
"70",445000,446000,38841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,2,0,0,0,0,0,0,0,0,0,0
"71",445000,486000,37361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,137,32,0,0,0,0,0,0,0,0,0,1
"72",445000,582000,33809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
"73",445000,630000,32033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,156,56,1,0,0,0,0,0,0,0,0,0
"74",453000,158000,49498,0,11,0,0,0,0,0,10,0,1,0,8,7,0,23,2,0,2,1,2,135,0,0,2,0,3,0,0,2,1,0
"75",453000,238000,46538,0,7,0,0,0,0,0,0,0,0,0,0,12,0,24,0,0,4,0,90,50,1,0,0,0,3,0,0,2,1,0
"76",453000,262000,45650,0,2,0,0,0,0,0,0,0,0,0,0,5,0,10,0,1,2,0,161,26,0,0,0,0,0,0,0,0,0,0
"77",453000,286000,44762,0,4,0,0,0,0,0,0,0,0,0,0,12,1,15,0,0,2,0,66,90,0,0,0,0,0,0,0,0,2,0
"78",453000,310000,43874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0,0,0,0,0,0,0,0,0
"79",453000,374000,41506,0,0,0,0,0,0,0,0,1,0,0,0,16,2,20,0,0,0,2,140,42,0,0,0,0,1,0,0,0,2,0
"80",453000,454000,38546,0,1,0,0,0,0,0,0,1,0,0,0,2,2,4,0,0,0,1,186,7,0,0,0,0,2,0,0,0,4,0
"81",453000,510000,36474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,209,1,0,0,0,0,0,0,0,0,0,0
"82",453000,558000,34698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,179,23,0,0,0,0,0,0,0,0,0,0
"83",453000,582000,33810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0
"84",453000,662000,30850,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,131,75,0,2,0,0,0,0,0,0,0,0
"85",453000,670000,30554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0,0,0,0,0,0
"86",461000,102000,51571,0,5,0,0,23,0,0,12,0,0,0,3,5,0,15,1,0,10,0,37,75,2,0,5,0,0,0,0,2,2,0
"87",461000,134000,50387,0,0,0,0,0,0,0,3,0,0,0,2,0,0,1,0,0,0,0,0,14,0,0,2,0,0,0,0,0,0,0
"88",461000,142000,50091,0,15,0,0,1,0,0,5,0,0,0,6,16,0,22,1,0,12,4,0,111,2,0,4,0,0,0,0,0,3,0
"89",461000,158000,49499,0,11,0,0,0,0,0,17,0,0,0,1,8,0,16,1,1,3,0,10,111,1,0,1,0,1,0,0,0,2,0
"90",461000,222000,47131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,184,24,0,0,0,0,0,0,0,3,0,0
"91",461000,270000,45355,0,2,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,1,0,166,24,0,0,0,0,1,0,0,0,1,0
"92",461000,302000,44171,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,1,176,26,0,0,0,0,0,0,0,0,1,0
"93",461000,390000,40915,0,0,0,1,0,0,0,0,0,1,0,0,7,3,10,0,0,1,2,162,26,0,0,0,0,0,0,0,0,0,1
"94",461000,430000,39435,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0
"95",461000,534000,35587,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,185,25,0,0,0,0,0,0,0,0,0,0
"96",469000,134000,50388,0,4,0,0,0,0,15,0,0,1,0,14,5,0,19,1,0,1,3,0,150,0,0,6,0,0,0,0,0,5,0
"97",469000,142000,50092,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
